outer_fold,SubjectNumber,inner_cv_rmse,alpha,gamma,fit_seconds,subset_id
34,43,1.4034630929779772,0.0316227766016837,0.003,0.8795789580326527,groups_111111
35,44,1.3800607213543512,0.0316227766016837,0.003,0.880538999917917,groups_111111
36,45,1.3825883429956682,0.0316227766016837,0.003,0.8718248750083148,groups_111111
37,46,1.389344163494192,0.0316227766016837,0.003,0.9048843750497326,groups_111111
38,49,1.3919234490717072,0.0316227766016837,0.003,0.8666846250416711,groups_111111
39,50,1.382694361389101,0.0316227766016837,0.003,0.8936182090546936,groups_111111
40,51,1.3815868217364078,0.0316227766016837,0.003,0.8800772500690073,groups_111111
41,52,1.3861806191834414,0.0316227766016837,0.003,0.8862080000108108,groups_111111
42,53,1.3737998535725928,0.0316227766016837,0.003,0.8899112090002745,groups_111111
43,54,1.376033154907321,0.0316227766016837,0.003,0.8855498330667615,groups_111111
44,55,1.381362170986282,0.0316227766016837,0.003,0.8843234169762582,groups_111111
45,56,1.37896539898651,0.0316227766016837,0.003,0.8819857080234215,groups_111111
46,58,1.4155021668782848,0.0316227766016837,0.003,0.8782872919691727,groups_111111
47,59,1.4146544692895082,0.0316227766016837,0.003,0.881160291028209,groups_111111
48,60,1.412312840290776,0.01,0.003,0.8899065830046311,groups_111111
49,101,1.425848203496594,0.0316227766016837,0.003,0.8798881670227274,groups_111111
50,102,1.4221663928242363,0.0316227766016837,0.003,0.8818971669534221,groups_111111
51,104,1.4609677377084034,0.01,0.001,0.8736059169750661,groups_111111
52,106,1.4553911679516582,0.0316227766016837,0.003,0.895544333034195,groups_111111
53,108,1.4421449033480065,0.0316227766016837,0.003,0.8819732080446556,groups_111111
54,109,1.4253197851458803,0.0031622776601683,0.001,0.8850632500834763,groups_111111
55,110,1.467780277335444,0.0316227766016837,0.003,0.8775302090216428,groups_111111
56,112,1.4681665508591024,0.0031622776601683,0.001,0.8790766660822555,groups_111111
57,113,1.4781825080392987,0.0316227766016837,0.003,0.8712767499964684,groups_111111
58,115,1.4560404980843968,0.0031622776601683,0.001,0.8940933749545366,groups_111111
59,116,1.4515155467934802,0.0031622776601683,0.001,0.8816047090804204,groups_111111
60,118,1.4486885717371298,0.0031622776601683,0.001,0.8815706659806892,groups_111111
61,119,1.4564382175832808,0.0031622776601683,0.001,0.8827647500438616,groups_111111
62,120,1.492849049495415,0.0316227766016837,0.003,0.8832837919471785,groups_111111
63,121,1.4781633144927118,0.0031622776601683,0.001,0.8603106670780107,groups_111111
64,122,1.4439582424924886,0.01,0.003,0.8702763749752194,groups_111111
